"filename", "language", "Python", "Markdown", "Shell Script", "pip requirements", "YAML", "JSON", "comment", "blank", "total"
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/metrics/tracing.py", "Python", 31, 0, 0, 0, 0, 0, 2, 5, 38
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 7, 22
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/alarm.py", "Python", 24, 0, 0, 0, 0, 0, 8, 5, 37
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/audit_db.py", "Python", 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/config.py", "Python", 88, 0, 0, 0, 0, 0, 8, 12, 108
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/database.py", "Python", 7, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/models/schemas.py", "Python", 223, 0, 0, 0, 0, 0, 26, 73, 322
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/schemas/validation/canbus.schema.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/schemas/validation/database.schema.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 1, 13
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/schemas/validation/i2c.schema.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/schemas/validation/kafka_consumer.schema.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/schemas/validation/kafka_producer.schema.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/scripts/README.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 25, 65
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/scripts/export_schemas.py", "Python", 36, 0, 0, 0, 0, 0, 17, 7, 60
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/sessions/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/sessions/database.py", "Python", 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/sessions/i2c.py", "Python", 10, 0, 0, 0, 0, 0, 1, 2, 13
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/sessions/kafka.py", "Python", 29, 0, 0, 0, 0, 0, 1, 5, 35
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/sessions/redis.py", "Python", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/alarms/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/alarms/service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/appstate/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/appstate/service.py", "Python", 21, 0, 0, 0, 0, 0, 7, 8, 36
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/auth/README.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 21, 55
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/subservices/auth/__init__.py", "Python", 43, 0, 0, 0, 0, 0, 4, 7, 54
